,Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
0,16,Bauru,Paulistano,1,Gui Deodato,09.38,2,8,0,2,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
1,16,Bauru,Paulistano,1,Shilton (T),36.54,16,28,0,0,5,9,6,10,6,4,10,1.0,0.0,1.0,2.0,7.0,1,1.0
2,16,Bauru,Paulistano,1,Stefano,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
3,16,Bauru,Paulistano,1,Valtinho,20.43,11,15,1,2,2,2,4,5,0,2,2,7.0,0.0,0.0,3.0,2.0,0,0.0
4,16,Bauru,Paulistano,1,Alex (T),37.59,24,37,4,7,4,6,4,4,0,5,5,3.0,1.0,0.0,2.0,7.0,3,2.0
5,16,Bauru,Paulistano,1,Jefferson (T),33.32,9,23,3,5,0,4,0,0,2,10,12,1.0,0.0,0.0,5.0,2.0,0,0.0
6,16,Bauru,Paulistano,1,Henrique,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
7,16,Bauru,Paulistano,1,Michael,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
8,16,Bauru,Paulistano,1,Gegê (T),19.17,7,13,2,3,0,1,1,2,0,0,0,4.0,1.0,0.0,3.0,1.0,1,0.0
9,16,Bauru,Paulistano,1,Gui Santos,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
10,16,Bauru,Paulistano,1,Léo Meindl (T),36.45,23,39,3,7,5,7,4,4,0,6,6,1.0,3.0,1.0,2.0,3.0,2,0.0
11,16,Bauru,Paulistano,1,Jaú,05.12,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.0,0.0,0,0.0
12,16,Bauru,Paulistano,1,Ações coletivas,,,,,,,,,,0,4,4,,,,1.0,,0,
13,16,Bauru,Paulistano,1,Total,,92,163,13,26,17,30,19,25,8,31,39,18.0,5.0,2.0,21.0,22.0,8,3.0
0,16,Paulistano,Bauru,2,Yago,07.11,2,13,0,3,1,2,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
1,16,Paulistano,Bauru,2,Luis Fernando,03.08,2,5,0,1,1,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0.0
2,16,Paulistano,Bauru,2,Jhonatan (T),16.21,2,9,0,1,1,3,0,0,0,4,4,0.0,1.0,0.0,5.0,1.0,2,0.0
3,16,Paulistano,Bauru,2,Lucas Dias,21.25,3,18,1,6,0,0,0,0,2,0,2,1.0,0.0,0.0,0.0,0.0,0,0.0
4,16,Paulistano,Bauru,2,Victor André,00.22,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
5,16,Paulistano,Bauru,2,Hure (T),15.52,8,17,1,3,1,2,3,4,0,2,2,0.0,1.0,0.0,4.0,3.0,1,0.0
6,16,Paulistano,Bauru,2,Arthur Pecos,23.20,7,17,0,1,2,5,3,4,2,2,4,1.0,0.0,0.0,5.0,3.0,1,0.0
7,16,Paulistano,Bauru,2,Renato (T),36.20,20,36,0,1,8,13,4,7,4,3,7,4.0,0.0,2.0,1.0,5.0,0,1.0
8,16,Paulistano,Bauru,2,Pedrão,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
9,16,Paulistano,Bauru,2,De Paula (T),35.44,9,24,1,3,2,6,2,3,1,6,7,4.0,2.0,1.0,2.0,4.0,0,0.0
10,16,Paulistano,Bauru,2,Eddy (T),32.09,15,42,3,11,3,4,0,1,2,1,3,1.0,0.0,1.0,3.0,2.0,0,0.0
11,16,Paulistano,Bauru,2,Guilherme,08.08,5,9,0,0,2,4,1,1,1,2,3,0.0,0.0,0.0,2.0,3.0,1,0.0
12,16,Paulistano,Bauru,2,Ações coletivas,,,,,,,,,,2,0,2,,,,0.0,,0,
13,16,Paulistano,Bauru,2,Total,,73,190,6,30,21,40,13,20,14,20,34,12.0,5.0,4.0,22.0,21.0,6,1.0
0,16,Bauru,Paulistano,1,Gui Deodato,19.14,5,11,1,3,1,1,0,0,0,0,0,1.0,0.0,0.0,2.0,1.0,0,0.0
1,16,Bauru,Paulistano,1,Shilton (T),26.52,15,16,0,0,7,7,1,2,0,6,6,0.0,0.0,0.0,4.0,4.0,3,1.0
2,16,Bauru,Paulistano,1,Stefano,00.12,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0.0
3,16,Bauru,Paulistano,1,Valtinho,10.19,0,5,0,1,0,1,0,0,0,1,1,2.0,1.0,0.0,2.0,0.0,2,0.0
4,16,Bauru,Paulistano,1,Alex (T),28.44,17,24,2,4,4,4,3,4,1,3,4,5.0,0.0,0.0,2.0,3.0,0,0.0
5,16,Bauru,Paulistano,1,Jefferson (T),32.57,16,30,2,6,3,4,4,4,0,4,4,4.0,0.0,1.0,3.0,4.0,2,2.0
6,16,Bauru,Paulistano,1,Henrique,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
7,16,Bauru,Paulistano,1,Michael,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
8,16,Bauru,Paulistano,1,Gegê (T),32.01,8,17,2,5,1,1,0,0,0,3,3,5.0,2.0,0.0,2.0,3.0,2,0.0
9,16,Bauru,Paulistano,1,Gui Santos,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
10,16,Bauru,Paulistano,1,Léo Meindl (T),34.09,18,33,1,3,6,9,3,6,2,5,7,7.0,2.0,1.0,4.0,3.0,3,2.0
11,16,Bauru,Paulistano,1,Jaú,15.32,11,16,0,1,5,6,1,1,0,5,5,0.0,1.0,0.0,4.0,3.0,2,1.0
12,16,Bauru,Paulistano,1,Ações coletivas,,,,,,,,,,1,1,2,,,,0.0,,0,
13,16,Bauru,Paulistano,1,Total,,90,152,8,23,27,33,12,17,4,28,32,24.0,7.0,2.0,23.0,21.0,14,6.0
0,16,Paulistano,Bauru,2,Yago,14.44,4,15,1,3,0,2,1,2,0,1,1,0.0,0.0,0.0,0.0,2.0,3,0.0
1,16,Paulistano,Bauru,2,Luis Fernando,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
2,16,Paulistano,Bauru,2,Jhonatan,28.36,11,24,3,6,1,3,0,0,3,4,7,0.0,0.0,0.0,4.0,0.0,2,0.0
3,16,Paulistano,Bauru,2,Lucas Dias (T),32.35,13,39,0,4,5,12,3,3,2,2,4,0.0,2.0,2.0,3.0,4.0,1,0.0
4,16,Paulistano,Bauru,2,Victor André,00.40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0.0
5,16,Paulistano,Bauru,2,Hure (T),10.21,5,9,1,1,1,3,0,0,1,1,2,0.0,0.0,0.0,3.0,3.0,1,0.0
6,16,Paulistano,Bauru,2,Arthur Pecos (T),25.52,13,33,1,5,4,8,2,2,0,2,2,3.0,0.0,0.0,3.0,2.0,0,0.0
7,16,Paulistano,Bauru,2,Renato (T),18.24,4,9,0,1,1,1,2,4,1,0,1,0.0,1.0,0.0,3.0,3.0,4,0.0
8,16,Paulistano,Bauru,2,Pedrão,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
9,16,Paulistano,Bauru,2,De Paula (T),30.30,15,38,5,10,0,4,0,0,1,1,2,2.0,1.0,0.0,4.0,1.0,2,0.0
10,16,Paulistano,Bauru,2,Eddy,18.33,6,16,1,3,1,3,1,1,0,2,2,2.0,0.0,0.0,0.0,1.0,0,0.0
11,16,Paulistano,Bauru,2,Guilherme,19.45,8,16,0,2,3,3,2,4,6,4,10,0.0,0.0,0.0,2.0,5.0,2,0.0
12,16,Paulistano,Bauru,2,Ações coletivas,,,,,,,,,,5,2,7,,,,0.0,,0,
13,16,Paulistano,Bauru,2,Total,,79,199,12,35,16,39,11,16,19,19,38,7.0,4.0,3.0,22.0,21.0,15,0.0
0,16,Bauru,Paulistano,1,Gui Deodato,08.02,0,6,0,2,0,0,0,0,1,2,3,0.0,0.0,0.0,0.0,0.0,1,0.0
1,16,Bauru,Paulistano,1,Shilton (T),21.00,5,14,0,1,1,2,3,7,1,3,4,2.0,1.0,1.0,3.0,5.0,2,0.0
2,16,Bauru,Paulistano,1,Stefano,02.14,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0,0.0
3,16,Bauru,Paulistano,1,Valtinho,23.19,5,16,1,4,1,2,0,0,0,1,1,4.0,1.0,0.0,0.0,1.0,1,0.0
4,16,Bauru,Paulistano,1,Alex (T),38.24,24,46,3,8,5,8,5,6,0,10,10,2.0,0.0,0.0,2.0,5.0,6,1.0
5,16,Bauru,Paulistano,1,Jefferson (T),38.15,16,31,4,6,0,4,4,5,5,2,7,1.0,1.0,1.0,4.0,7.0,1,0.0
6,16,Bauru,Paulistano,1,Henrique,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
7,16,Bauru,Paulistano,1,Michael,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
8,16,Bauru,Paulistano,1,Gegê (T),11.27,5,8,1,2,1,1,0,0,1,1,2,0.0,0.0,0.0,3.0,1.0,0,0.0
9,16,Bauru,Paulistano,1,Léo Meindl (T),36.21,13,37,1,5,4,9,2,4,3,5,8,4.0,2.0,0.0,3.0,3.0,4,0.0
10,16,Bauru,Paulistano,1,Jaú,20.58,6,15,0,1,3,6,0,0,2,1,3,0.0,2.0,1.0,4.0,1.0,2,1.0
11,16,Bauru,Paulistano,1,Ações coletivas,,,,,,,,,,2,1,3,,,,1.0,,0,
12,16,Bauru,Paulistano,1,Total,,74,173,10,29,15,32,14,22,15,26,41,13.0,7.0,3.0,21.0,23.0,17,2.0
0,16,Paulistano,Bauru,2,Yago,16.23,7,20,1,3,2,5,0,1,0,0,0,1.0,1.0,0.0,0.0,3.0,1,0.0
1,16,Paulistano,Bauru,2,Luis Fernando,00.28,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0.0
2,16,Paulistano,Bauru,2,Jhonatan,17.03,9,12,2,3,0,0,3,3,0,3,3,0.0,0.0,0.0,3.0,2.0,0,0.0
3,16,Paulistano,Bauru,2,Lucas Dias (T),35.58,20,34,2,5,5,7,4,5,3,0,3,0.0,1.0,1.0,2.0,2.0,1,1.0
4,16,Paulistano,Bauru,2,Victor André,02.34,0,3,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0.0
5,16,Paulistano,Bauru,2,Hure (T),18.23,11,20,3,4,1,4,0,0,1,2,3,0.0,0.0,3.0,4.0,0.0,3,0.0
6,16,Paulistano,Bauru,2,Arthur Pecos (T),27.31,9,24,0,2,2,5,5,8,0,5,5,5.0,1.0,0.0,1.0,5.0,1,0.0
7,16,Paulistano,Bauru,2,Renato,20.38,6,17,0,1,3,6,0,2,4,4,8,0.0,1.0,0.0,4.0,2.0,0,0.0
8,16,Paulistano,Bauru,2,Pedrão,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
9,16,Paulistano,Bauru,2,De Paula (T),28.17,2,13,0,3,0,1,2,2,0,3,3,5.0,1.0,0.0,3.0,2.0,4,0.0
10,16,Paulistano,Bauru,2,Eddy,15.25,9,21,3,7,0,0,0,0,0,1,1,1.0,0.0,0.0,3.0,0.0,3,0.0
11,16,Paulistano,Bauru,2,Guilherme (T),17.20,5,10,1,2,0,1,2,2,0,1,1,1.0,0.0,1.0,2.0,2.0,1,0.0
12,16,Paulistano,Bauru,2,Ações coletivas,,,,,,,,,,1,6,7,,,,1.0,,0,
13,16,Paulistano,Bauru,2,Total,,78,174,12,31,13,29,16,23,9,25,34,13.0,5.0,5.0,24.0,18.0,14,1.0
0,16,Paulistano,Bauru,1,Yago,21.55,14,35,3,8,1,4,3,3,0,0,0,2.0,1.0,0.0,0.0,3.0,2,0.0
1,16,Paulistano,Bauru,1,Luis Fernando,01.01,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
2,16,Paulistano,Bauru,1,Jhonatan,13.06,3,11,1,3,0,1,0,0,2,1,3,2.0,1.0,0.0,5.0,0.0,2,0.0
3,16,Paulistano,Bauru,1,Lucas Dias (T),30.05,12,30,2,6,0,1,6,10,0,7,7,1.0,1.0,1.0,0.0,9.0,2,0.0
4,16,Paulistano,Bauru,1,Victor André,03.10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0
5,16,Paulistano,Bauru,1,Hure (T),26.17,13,27,3,7,2,3,0,0,1,3,4,1.0,1.0,1.0,3.0,1.0,2,0.0
6,16,Paulistano,Bauru,1,Arthur Pecos (T),27.23,12,28,1,4,2,4,5,8,2,3,5,5.0,0.0,0.0,4.0,5.0,0,0.0
7,16,Paulistano,Bauru,1,Renato,22.37,7,15,0,1,2,4,3,4,4,3,7,1.0,0.0,0.0,5.0,2.0,1,0.0
8,16,Paulistano,Bauru,1,Pedrão,00.06,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0
9,16,Paulistano,Bauru,1,De Paula (T),20.28,3,6,1,2,0,0,0,0,0,4,4,2.0,0.0,0.0,0.0,1.0,1,0.0
10,16,Paulistano,Bauru,1,Eddy,19.03,8,21,2,5,0,2,2,2,0,3,3,0.0,0.0,0.0,4.0,1.0,3,0.0
11,16,Paulistano,Bauru,1,Guilherme (T),14.49,10,19,0,1,5,8,0,0,2,3,5,1.0,0.0,0.0,4.0,0.0,2,0.0
12,16,Paulistano,Bauru,1,Ações coletivas,,,,,,,,,,1,3,4,,,,0.0,,0,
13,16,Paulistano,Bauru,1,Total,,82,192,13,37,12,27,19,27,12,30,42,15.0,4.0,2.0,25.0,24.0,15,0.0
0,16,Bauru,Paulistano,2,Gui Deodato,26.20,7,24,1,4,2,6,0,0,2,1,3,0.0,1.0,0.0,2.0,1.0,1,0.0
1,16,Bauru,Paulistano,2,Shilton (T),17.52,6,6,0,0,2,2,2,2,1,3,4,0.0,1.0,0.0,2.0,2.0,1,0.0
2,16,Bauru,Paulistano,2,Stefano,10.08,0,3,0,1,0,0,0,0,1,0,1,0.0,0.0,0.0,2.0,0.0,0,0.0
3,16,Bauru,Paulistano,2,Alex (T),37.56,18,55,2,10,3,9,6,7,1,5,6,5.0,0.0,0.0,3.0,5.0,3,0.0
4,16,Bauru,Paulistano,2,Jefferson (T),36.42,18,38,1,5,3,7,9,9,0,5,5,2.0,1.0,1.0,4.0,9.0,2,0.0
5,16,Bauru,Paulistano,2,Henrique,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
6,16,Bauru,Paulistano,2,Michael,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
7,16,Bauru,Paulistano,2,Gegê (T),24.52,9,24,3,8,0,0,0,0,0,5,5,3.0,2.0,0.0,4.0,0.0,0,0.0
8,16,Bauru,Paulistano,2,Gui Santos,00.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
9,16,Bauru,Paulistano,2,Léo Meindl (T),28.13,18,37,0,4,6,9,6,7,3,5,8,2.0,1.0,0.0,5.0,5.0,4,0.0
