,Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
0,15,Flamengo,Bauru,1,Marcelinho,35.6,26,47,6,9,2,8,4,4,9,1,10,6,1,0,2.0,4.0,2,0
1,15,Flamengo,Bauru,1,Olivinha,34.5,22,38,3,6,5,8,3,4,6,3,9,1,3,0,3.0,3.0,1,0
2,15,Flamengo,Bauru,1,JP Batista,21.6,20,29,0,0,8,12,4,5,2,4,6,0,1,2,4.0,4.0,1,0
3,15,Flamengo,Bauru,1,Rafa Luz,12.7,11,18,2,3,1,3,3,3,2,0,2,5,2,0,2.0,3.0,0,0
4,15,Flamengo,Bauru,1,Meyinsse,18.0,8,13,0,0,4,6,0,1,4,1,5,1,0,0,2.0,2.0,0,2
5,15,Flamengo,Bauru,1,Gegê,14.8,5,16,1,4,0,1,2,2,0,0,0,3,1,0,2.0,3.0,0,0
6,15,Flamengo,Bauru,1,Ramon,22.2,3,9,1,3,0,0,0,0,2,0,2,3,1,0,3.0,2.0,0,0
7,15,Flamengo,Bauru,1,Mineiro,6.0,2,5,0,1,1,1,0,0,0,0,0,0,0,0,1.0,0.0,0,0
8,15,Flamengo,Bauru,1,Marquinhos,17.1,2,13,0,3,0,1,2,2,3,1,4,1,1,0,3.0,2.0,0,0
9,15,Flamengo,Bauru,1,Robinson,17.7,1,9,0,1,0,2,1,2,2,0,2,1,0,0,2.0,1.0,1,0
10,15,Flamengo,Bauru,1,Danielzinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11,15,Flamengo,Bauru,1,Mingau,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
12,15,Flamengo,Bauru,1,Equipe,0.0,100,197,13,30,21,42,19,23,31,12,43,21,10,2,24.0,24.0,5,2
0,15,Bauru,Flamengo,2,Paulinho,29.7,14,39,2,7,4,9,0,0,1,0,1,4,1,0,5.0,1.0,4,0
1,15,Bauru,Flamengo,2,Alex,34.3,11,28,1,4,3,7,2,2,5,1,6,1,0,0,3.0,5.0,2,1
2,15,Bauru,Flamengo,2,Jefferson,29.6,11,34,1,6,2,5,4,6,5,1,6,0,1,0,4.0,6.0,1,0
3,15,Bauru,Flamengo,2,Murilo,15.0,8,13,0,1,1,1,6,8,5,1,6,0,0,0,4.0,4.0,1,0
4,15,Bauru,Flamengo,2,Hettsheimeir,27.4,8,19,0,3,2,3,4,4,8,2,10,0,0,0,2.0,4.0,1,0
5,15,Bauru,Flamengo,2,Léo Meindl,22.5,7,16,0,2,2,3,3,4,3,3,6,1,0,0,4.0,4.0,3,0
6,15,Bauru,Flamengo,2,Robert Day,35.1,5,23,1,7,1,1,0,0,1,1,2,0,0,0,2.0,0.0,2,0
7,15,Bauru,Flamengo,2,Gui Santos,1.3,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0
8,15,Bauru,Flamengo,2,L. Eltink,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
9,15,Bauru,Flamengo,2,Stefano,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10,15,Bauru,Flamengo,2,Wesley,5.2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0.0,0.0,0,0
11,15,Bauru,Flamengo,2,Labbate,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
12,15,Bauru,Flamengo,2,Equipe,0.0,66,174,5,30,16,30,19,24,31,10,41,6,3,0,24.0,24.0,14,1
0,15,Bauru,Flamengo,1,Robert Day,35.1,24,36,4,8,4,4,4,4,1,1,2,1,2,0,2.0,4.0,1,0
1,15,Bauru,Flamengo,1,Jefferson,35.6,22,36,6,10,2,3,0,0,10,2,12,2,0,0,2.0,1.0,1,0
2,15,Bauru,Flamengo,1,Hettsheimeir,28.0,16,33,3,7,2,4,3,4,6,1,7,2,2,0,1.0,5.0,6,0
3,15,Bauru,Flamengo,1,Alex,29.2,14,25,0,3,4,5,6,6,3,2,5,10,1,0,2.0,3.0,3,0
4,15,Bauru,Flamengo,1,Paulinho,34.6,9,25,0,4,3,5,3,3,4,1,5,5,1,0,3.0,3.0,3,0
5,15,Bauru,Flamengo,1,Léo Meindl,21.9,7,23,1,3,2,7,0,0,3,1,4,1,0,0,2.0,1.0,0,1
6,15,Bauru,Flamengo,1,Murilo,13.0,2,9,0,1,1,3,0,0,2,2,4,1,0,1,4.0,3.0,1,0
7,15,Bauru,Flamengo,1,L. Eltink,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
8,15,Bauru,Flamengo,1,Stefano,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
9,15,Bauru,Flamengo,1,Wesley,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10,15,Bauru,Flamengo,1,Gui Santos,2.0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11,15,Bauru,Flamengo,1,Labbate,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
12,15,Bauru,Flamengo,1,Equipe,0.0,94,190,14,37,18,31,16,17,30,13,43,22,10,1,16.0,20.0,15,1
0,15,Flamengo,Bauru,2,Marquinhos,26.0,16,25,2,3,3,6,4,4,5,0,5,3,0,0,1.0,3.0,1,0
1,15,Flamengo,Bauru,2,Olivinha,21.7,14,22,1,2,5,7,1,2,4,2,6,2,1,0,4.0,3.0,1,0
2,15,Flamengo,Bauru,2,Marcelinho,29.2,13,39,3,9,1,5,2,2,3,0,3,6,3,0,3.0,3.0,3,0
3,15,Flamengo,Bauru,2,Ramon,21.1,11,25,1,5,3,4,2,2,2,0,2,0,2,0,4.0,1.0,2,0
4,15,Flamengo,Bauru,2,JP Batista,17.7,10,18,0,0,5,9,0,0,2,0,2,1,0,0,0.0,2.0,1,0
5,15,Flamengo,Bauru,2,Mineiro,21.6,7,9,1,1,2,3,0,0,4,2,6,0,0,2,2.0,0.0,1,0
6,15,Flamengo,Bauru,2,Rafa Luz,27.5,5,9,1,1,1,3,0,0,2,0,2,2,3,1,3.0,0.0,0,0
7,15,Flamengo,Bauru,2,Meyinsse,14.9,3,10,0,0,1,3,1,4,2,1,3,0,0,0,2.0,3.0,0,0
8,15,Flamengo,Bauru,2,Robinson,15.3,2,12,0,2,1,3,0,0,0,1,1,0,0,0,0.0,0.0,2,0
9,15,Flamengo,Bauru,2,Gegê,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0
10,15,Flamengo,Bauru,2,Danielzinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
