,Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
0,13,Bauru,Flamengo,1,Fischer,30.9,17,32,3,6,4,7,0,0,2,0,2,10,1,0,3.0,1.0,3,0
1,13,Bauru,Flamengo,1,Barrios,30.9,14,24,3,5,1,3,3,3,2,0,2,1,0,0,2.0,4.0,0,0
2,13,Bauru,Flamengo,1,Murilo,32.6,12,23,0,1,5,8,2,4,5,8,13,2,2,0,2.0,7.0,1,1
3,13,Bauru,Flamengo,1,F. Fischer,24.8,9,27,1,5,3,6,0,0,0,1,1,1,0,0,3.0,0.0,1,0
4,13,Bauru,Flamengo,1,Larry,26.3,8,31,2,5,1,8,0,0,3,1,4,2,1,1,0.0,0.0,0,0
5,13,Bauru,Flamengo,1,Tischer,20.8,7,15,0,1,3,5,1,2,4,0,4,0,0,0,3.0,3.0,1,2
6,13,Bauru,Flamengo,1,Deodato,18.6,3,13,1,3,0,2,0,0,2,0,2,1,0,0,0.0,2.0,1,0
7,13,Bauru,Flamengo,1,Mathias,3.9,2,2,0,0,1,1,0,0,0,1,1,0,0,1,0.0,0.0,0,0
8,13,Bauru,Flamengo,1,Ayarza,4.1,1,5,0,1,0,0,1,2,0,0,0,0,0,0,1.0,1.0,0,0
9,13,Bauru,Flamengo,1,Andrezão,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0
10,13,Bauru,Flamengo,1,Gabriel,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11,13,Bauru,Flamengo,1,Lucas,3.5,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0
12,13,Bauru,Flamengo,1,Equipe,0.0,73,177,10,28,18,41,7,11,19,11,30,17,6,2,15.0,18.0,7,3
0,13,Flamengo,Bauru,2,Olivinha,27.3,21,31,3,5,5,7,2,2,7,4,11,1,0,1,2.0,1.0,1,0
1,13,Flamengo,Bauru,2,Marquinhos,33.2,20,32,4,5,2,6,4,5,3,1,4,4,1,0,1.0,3.0,0,1
2,13,Flamengo,Bauru,2,Laprovittola,29.7,18,31,4,7,3,5,0,0,2,0,2,6,0,0,3.0,3.0,3,0
3,13,Flamengo,Bauru,2,Meyinsse,25.8,17,22,0,0,8,10,1,2,10,2,12,1,0,0,4.0,3.0,2,3
4,13,Flamengo,Bauru,2,Gegê,20.5,5,16,1,4,1,2,0,0,2,0,2,0,2,0,0.0,1.0,0,0
5,13,Flamengo,Bauru,2,Felicio,4.7,5,6,0,0,2,2,1,2,1,2,3,0,0,0,1.0,1.0,1,0
6,13,Flamengo,Bauru,2,Washam,19.0,4,15,0,3,2,3,0,0,1,1,2,0,0,0,1.0,0.0,0,0
7,13,Flamengo,Bauru,2,Marcelinho,29.1,2,21,0,5,0,2,2,2,6,1,7,6,3,1,1.0,3.0,0,0
8,13,Flamengo,Bauru,2,Shilton,9.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.0,0.0,1,0
9,13,Flamengo,Bauru,2,Chupeta,1.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0
10,13,Flamengo,Bauru,2,Diego,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11,13,Flamengo,Bauru,2,Danielzinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
12,13,Flamengo,Bauru,2,Equipe,0.0,92,174,12,29,23,37,10,13,33,12,45,19,6,2,18.0,15.0,8,4
0,13,Mogi,Limeira,1,Toledo,33.4,21,40,1,4,7,10,4,8,6,2,8,3,2,0,3.0,6.0,4,1
1,13,Mogi,Limeira,1,Jason Smith,16.0,14,23,1,2,3,6,5,5,1,0,1,4,1,0,3.0,4.0,1,0
2,13,Mogi,Limeira,1,Ted,32.6,12,21,3,5,0,1,3,4,2,1,3,0,0,0,2.0,2.0,1,0
3,13,Mogi,Limeira,1,Filipin,26.9,10,22,0,2,5,8,0,0,2,1,3,0,0,1,3.0,2.0,1,0
4,13,Mogi,Limeira,1,Gustavinho,28.1,10,22,2,4,2,5,0,0,1,0,1,6,2,0,2.0,3.0,0,0
5,13,Mogi,Limeira,1,Jefferson,16.6,9,16,2,4,1,1,1,2,1,1,2,2,1,0,1.0,1.0,1,1
6,13,Mogi,Limeira,1,Sidão,16.1,8,10,0,0,2,2,4,6,2,1,3,1,0,0,4.0,5.0,1,1
7,13,Mogi,Limeira,1,Alemão,23.9,4,17,0,1,2,7,0,0,5,6,11,2,1,0,3.0,0.0,2,0
8,13,Mogi,Limeira,1,Jeff,3.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0,0
9,13,Mogi,Limeira,1,Patekoski,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10,13,Mogi,Limeira,1,Gehrke,3.4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0,0
11,13,Mogi,Limeira,1,PH Macedo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
12,13,Mogi,Limeira,1,Equipe,0.0,88,171,9,22,22,40,17,25,22,15,37,19,10,1,22.0,23.0,11,3
0,13,Limeira,Mogi,2,Ramon,38.5,25,36,3,6,5,6,6,6,3,1,4,3,0,0,3.0,4.0,4,0
1,13,Limeira,Mogi,2,David Jackson,33.6,24,48,3,9,2,5,11,11,1,0,1,2,0,0,3.0,5.0,4,0
2,13,Limeira,Mogi,2,B. Fiorotto,34.6,10,20,0,1,3,5,4,7,4,2,6,4,2,2,4.0,4.0,3,0
3,13,Limeira,Mogi,2,Renato Lamas,26.4,6,12,1,2,1,2,1,2,2,0,2,5,1,0,3.0,2.0,2,0
4,13,Limeira,Mogi,2,Teichmann,16.5,6,7,0,0,3,3,0,1,2,1,3,1,1,0,2.0,1.0,0,0
5,13,Limeira,Mogi,2,Wagner,20.0,3,9,0,0,1,4,1,1,1,0,1,0,0,1,5.0,3.0,0,0
6,13,Limeira,Mogi,2,Matheus Dalla,6.0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0
7,13,Limeira,Mogi,2,Deryk,4.3,2,5,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1,0
8,13,Limeira,Mogi,2,Renan,4.9,2,2,0,0,1,1,0,0,1,0,1,1,0,0,2.0,1.0,0,0
9,13,Limeira,Mogi,2,Du Sommer,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10,13,Limeira,Mogi,2,Hélio,15.3,0,17,0,3,0,4,0,0,0,0,0,1,0,0,2.0,1.0,0,0
11,13,Limeira,Mogi,2,Matheus P.,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
12,13,Limeira,Mogi,2,Equipe,0.0,81,159,8,23,17,31,23,28,18,6,24,17,6,3,24.0,21.0,15,0
0,13,São José,Brasília,1,C. Torres,30.7,18,33,0,0,9,16,0,1,10,9,19,3,1,0,1.0,2.0,3,0
1,13,São José,Brasília,1,Quezada,36.9,15,44,1,6,6,13,0,0,7,1,8,4,1,0,3.0,3.0,4,0
2,13,São José,Brasília,1,Jefferson,37.3,12,40,2,10,2,4,2,2,10,3,13,0,0,1,2.0,2.0,2,0
3,13,São José,Brasília,1,Laws,35.3,11,23,0,3,4,5,3,4,0,1,1,1,1,0,2.0,3.0,3,0
4,13,São José,Brasília,1,Alex,32.3,7,14,1,2,0,1,4,6,0,1,1,2,1,0,4.0,4.0,0,0
5,13,São José,Brasília,1,Gustavo,10.0,5,10,1,2,1,2,0,0,1,1,2,0,0,0,2.0,0.0,0,0
6,13,São José,Brasília,1,Nelson,9.4,4,10,0,0,0,3,4,4,1,2,3,0,1,0,0.0,2.0,0,0
7,13,São José,Brasília,1,Gabriel,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
8,13,São José,Brasília,1,M. Pajé,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
9,13,São José,Brasília,1,Jerônimo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10,13,São José,Brasília,1,Victinho,6.4,0,8,0,2,0,1,0,0,1,1,2,0,0,0,2.0,0.0,1,0
11,13,São José,Brasília,1,Equipe,0.0,72,182,5,25,22,45,13,17,32,21,53,10,8,1,16.0,16.0,13,0
0,13,Brasília,São José,2,Alex,38.6,17,25,1,3,6,7,2,2,4,0,4,4,4,0,3.0,4.0,1,0
1,13,Brasília,São José,2,Goree,30.2,16,36,2,5,5,10,0,1,1,5,6,1,0,0,1.0,2.0,1,3
2,13,Brasília,São José,2,Arthur,28.7,12,22,3,6,1,1,1,2,4,0,4,0,0,0,2.0,2.0,1,0
3,13,Brasília,São José,2,Nezinho,40.0,10,45,1,9,3,8,1,2,3,1,4,6,1,0,2.0,5.0,5,0
4,13,Brasília,São José,2,Alírio,18.0,7,18,1,4,2,3,0,0,6,0,6,0,1,0,4.0,1.0,0,1
5,13,Brasília,São José,2,Ronald,14.5,4,8,0,0,2,4,0,0,0,3,3,0,0,3,1.0,0.0,0,0
6,13,Brasília,São José,2,Osimani,30.0,4,18,0,3,2,4,0,1,4,0,4,1,0,0,3.0,2.0,1,0
7,13,Brasília,São José,2,Abner,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
8,13,Brasília,São José,2,Rossi,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
9,13,Brasília,São José,2,Isaac,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10,13,Brasília,São José,2,B. Felipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11,13,Brasília,São José,2,Equipe,0.0,70,172,8,30,21,37,4,8,23,9,32,12,9,3,16.0,16.0,9,4
0,13,Paulistano,Sesi Franca,1,Dawkins,28.0,14,31,2,7,4,5,0,0,0,1,1,1,2,0,0.0,4.0,5,0
1,13,Paulistano,Sesi Franca,1,Pilar,21.7,11,21,1,1,4,9,0,0,3,1,4,3,1,1,2.0,0.0,1,0
2,13,Paulistano,Sesi Franca,1,César,24.0,9,11,3,3,0,1,0,0,1,1,2,0,2,0,2.0,2.0,1,0
3,13,Paulistano,Sesi Franca,1,Mineiro,20.9,8,12,0,0,3,5,2,2,4,1,5,0,0,0,3.0,1.0,1,0
4,13,Paulistano,Sesi Franca,1,Holloway,27.6,7,26,1,4,1,6,2,2,3,0,3,1,3,0,3.0,2.0,2,0
5,13,Paulistano,Sesi Franca,1,Pedro,16.1,6,16,0,2,1,3,4,4,0,0,0,0,0,0,1.0,2.0,2,0
6,13,Paulistano,Sesi Franca,1,André,21.8,6,27,0,5,2,5,2,2,1,0,1,4,2,0,1.0,2.0,1,0
7,13,Paulistano,Sesi Franca,1,Renato,20.4,4,13,0,1,2,5,0,0,1,1,2,0,0,0,3.0,0.0,1,0
8,13,Paulistano,Sesi Franca,1,Gemerson,7.3,2,10,0,2,1,1,0,2,1,1,2,0,0,0,0.0,1.0,1,0
9,13,Paulistano,Sesi Franca,1,Arthur,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10,13,Paulistano,Sesi Franca,1,Labbate,8.1,0,2,0,0,0,1,0,0,1,1,2,0,0,0,0.0,0.0,0,0
11,13,Paulistano,Sesi Franca,1,Pecos,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
12,13,Paulistano,Sesi Franca,1,Equipe,0.0,67,169,7,25,18,41,10,12,17,10,27,9,15,1,15.0,14.0,15,0
0,13,Sesi Franca,Paulistano,2,Léo Meindl,35.4,22,38,4,7,5,8,0,1,7,1,8,2,3,0,2.0,4.0,6,0
1,13,Sesi Franca,Paulistano,2,Prestes,29.5,19,33,0,0,7,14,5,5,7,6,13,4,1,2,3.0,4.0,2,0
2,13,Sesi Franca,Paulistano,2,Lucas,32.4,19,31,3,5,5,8,0,0,5,2,7,1,0,3,2.0,0.0,2,1
