,Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
0,18,Sesi Franca,Flamengo,1,David Jackson,35.6,18,36,1,4,5,9,5,6,6,2,8,2,3,0,2.0,6.0,2,0
1,18,Sesi Franca,Flamengo,1,Didi,12.0,12,16,0,0,3,4,6,8,0,2,2,1,0,0,2.0,4.0,1,0
2,18,Sesi Franca,Flamengo,1,Cipolini,16.9,9,12,1,2,1,1,4,4,1,0,1,0,0,0,2.0,3.0,0,1
3,18,Sesi Franca,Flamengo,1,Hettsheimeir,21.0,9,25,1,5,2,4,2,2,3,1,4,0,0,0,3.0,2.0,1,0
4,18,Sesi Franca,Flamengo,1,Jimmy,32.4,7,17,1,3,2,3,0,0,5,0,5,0,1,0,4.0,0.0,2,0
5,18,Sesi Franca,Flamengo,1,Lucas Dias,29.4,7,29,0,3,2,8,3,4,5,1,6,0,2,0,2.0,6.0,0,1
6,18,Sesi Franca,Flamengo,1,André Goes,12.8,5,12,0,2,2,2,1,2,0,0,0,0,0,1,2.0,2.0,0,0
7,18,Sesi Franca,Flamengo,1,Alexey,19.8,5,14,1,2,1,4,0,0,0,1,1,3,0,0,2.0,0.0,2,0
8,18,Sesi Franca,Flamengo,1,Adriano Big,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
9,18,Sesi Franca,Flamengo,1,Guilherme,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10,18,Sesi Franca,Flamengo,1,Elinho,20.2,0,8,0,2,0,1,0,0,2,0,2,5,0,0,2.0,0.0,0,0
11,18,Sesi Franca,Flamengo,1,Augusto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
12,18,Sesi Franca,Flamengo,1,Equipe,0.0,72,169,5,23,18,36,21,26,25,9,34,11,6,1,21.0,23.0,8,2
0,18,Flamengo,Sesi Franca,2,Marquinhos,35.8,18,29,2,3,4,8,4,4,4,0,4,0,0,0,1.0,2.0,0,0
1,18,Flamengo,Sesi Franca,2,Balbi,33.2,15,39,1,7,4,7,4,4,6,0,6,6,1,0,3.0,6.0,2,0
2,18,Flamengo,Sesi Franca,2,Deryk,16.5,12,18,2,4,3,3,0,0,0,0,0,1,2,0,2.0,0.0,1,0
3,18,Flamengo,Sesi Franca,2,Olivinha,20.6,12,26,1,2,2,7,5,6,8,2,10,1,1,0,3.0,3.0,0,0
4,18,Flamengo,Sesi Franca,2,Varejão,21.8,7,22,1,3,2,6,0,1,3,3,6,0,1,0,3.0,5.0,2,0
5,18,Flamengo,Sesi Franca,2,Mineiro,20.2,6,18,1,4,1,2,1,2,2,1,3,1,0,2,4.0,1.0,1,1
6,18,Flamengo,Sesi Franca,2,Nesbitt,12.5,6,6,0,0,1,1,4,4,1,0,1,0,0,0,0.0,2.0,0,0
7,18,Flamengo,Sesi Franca,2,Crescenzi,15.1,3,5,1,1,0,1,0,0,0,1,1,1,0,0,2.0,0.0,2,0
8,18,Flamengo,Sesi Franca,2,Davi,16.4,2,5,0,1,1,1,0,0,2,0,2,0,0,0,4.0,1.0,1,0
9,18,Flamengo,Sesi Franca,2,Matheus Weber,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
10,18,Flamengo,Sesi Franca,2,Jhonatan,8.0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2.0,0.0,0,0
11,18,Flamengo,Sesi Franca,2,Ruan,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
12,18,Flamengo,Sesi Franca,2,Equipe,0.0,81,168,9,25,18,36,18,21,29,9,38,11,5,2,24.0,20.0,11,1
0,18,Flamengo,Sesi Franca,1,Marquinhos,26.4,25,46,2,6,6,9,7,10,2,0,2,2,1,0,4.0,6.0,2,2
1,18,Flamengo,Sesi Franca,1,Varejão,25.1,19,34,0,0,8,15,3,4,5,4,9,1,1,0,3.0,4.0,3,0
2,18,Flamengo,Sesi Franca,1,Mineiro,14.9,10,26,1,3,3,6,1,5,1,2,3,1,1,1,0.0,3.0,2,1
3,18,Flamengo,Sesi Franca,1,Balbi,26.2,8,19,0,1,2,6,4,4,5,1,6,3,4,0,4.0,2.0,0,0
4,18,Flamengo,Sesi Franca,1,Olivinha,28.1,6,19,0,3,2,4,2,2,7,3,10,2,2,0,2.0,4.0,0,0
5,18,Flamengo,Sesi Franca,1,Jhonatan,16.0,3,6,1,2,0,0,0,0,0,1,1,2,1,0,4.0,0.0,2,0
6,18,Flamengo,Sesi Franca,1,Davi,20.9,3,6,1,2,0,0,0,0,2,1,3,1,0,0,3.0,0.0,2,0
7,18,Flamengo,Sesi Franca,1,Nesbitt,8.1,2,2,0,0,1,1,0,0,1,1,2,1,0,0,1.0,0.0,2,0
8,18,Flamengo,Sesi Franca,1,Deryk,20.6,0,6,0,2,0,0,0,0,1,0,1,3,0,0,2.0,0.0,1,0
9,18,Flamengo,Sesi Franca,1,Crescenzi,12.1,0,6,0,2,0,0,0,0,3,0,3,0,1,0,1.0,1.0,0,0
10,18,Flamengo,Sesi Franca,1,Matheus Weber,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
11,18,Flamengo,Sesi Franca,1,Ruan,0.9,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0,0
12,18,Flamengo,Sesi Franca,1,Equipe,0.0,76,172,5,21,22,42,17,25,29,14,43,16,11,1,25.0,20.0,14,3
0,18,Sesi Franca,Flamengo,2,David Jackson,32.7,14,24,1,3,5,6,1,3,7,0,7,3,1,0,3.0,10.0,1,0
1,18,Sesi Franca,Flamengo,2,Didi,22.2,11,20,2,4,1,2,3,4,1,2,3,1,0,1,2.0,3.0,1,0
2,18,Sesi Franca,Flamengo,2,André Goes,18.9,8,24,1,6,2,2,1,2,4,0,4,2,2,0,5.0,1.0,2,0
3,18,Sesi Franca,Flamengo,2,Alexey,26.3,8,16,0,0,2,6,4,4,1,2,3,7,1,0,2.0,3.0,5,0
4,18,Sesi Franca,Flamengo,2,Cipolini,22.8,8,14,1,3,1,1,3,3,3,0,3,0,0,0,3.0,2.0,2,1
5,18,Sesi Franca,Flamengo,2,Hettsheimeir,13.4,6,11,0,1,3,3,0,2,2,0,2,0,0,0,1.0,2.0,3,1
6,18,Sesi Franca,Flamengo,2,Lucas Dias,22.2,5,11,1,1,1,3,0,2,1,0,1,1,0,0,5.0,1.0,2,0
