,Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
0,17,Mogi,Paulistano,1,Jimmy,35.9,28,48,4,8,8,11,0,2,5,4,9,2,1,0,3.0,4.0,1,0
1,17,Mogi,Paulistano,1,Larry,35.0,16,46,3,9,2,8,3,3,1,5,6,3,1,1,1.0,3.0,1,0
2,17,Mogi,Paulistano,1,Shamell,29.9,13,40,2,5,1,9,5,7,3,2,5,3,2,0,3.0,7.0,3,0
3,17,Mogi,Paulistano,1,C. Torres,17.3,7,13,0,1,3,4,1,2,0,0,0,0,0,0,2.0,3.0,0,0
4,17,Mogi,Paulistano,1,Tyrone,34.1,5,20,0,2,2,6,1,2,2,2,4,3,2,0,4.0,2.0,2,1
5,17,Mogi,Paulistano,1,Vithinho,10.0,3,5,0,0,0,0,3,5,0,1,1,3,0,0,1.0,3.0,1,0
6,17,Mogi,Paulistano,1,Fabricio,23.8,3,9,1,3,0,0,0,0,1,4,5,2,0,0,3.0,3.0,1,0
7,17,Mogi,Paulistano,1,Filipin,6.1,1,5,0,1,0,0,1,2,1,1,2,0,0,0,3.0,2.0,0,0
8,17,Mogi,Paulistano,1,Vieira,6.5,0,3,0,1,0,0,0,0,1,0,1,1,1,0,2.0,0.0,0,0
9,17,Mogi,Paulistano,1,José Carlos,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0
10,17,Mogi,Paulistano,1,Wesley,1.1,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,0,0
11,17,Mogi,Paulistano,1,Lessa,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
12,17,Mogi,Paulistano,1,Equipe,0.0,76,191,10,30,16,39,14,23,16,23,39,17,7,1,24.0,27.0,10,1
0,17,Paulistano,Mogi,2,Yago,26.6,21,35,2,3,6,11,3,4,2,3,5,1,1,0,2.0,4.0,0,0
1,17,Paulistano,Mogi,2,Lucas Dias,34.4,20,28,2,4,5,6,4,4,3,2,5,1,1,2,3.0,7.0,2,0
